板块名称,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1
SW冰箱,365.3572,253.1342,285.4759,350.2202,605.9689,420.834,389.8631,313.4004,267.5129,661.5881,288.967,0,699.9065,389.7113,458.5232,530.8771,951.2913,668.5854,625.8048
SW空调,331.7642,452.4482,693.4487,1157.2054,2415.5598,1648.3668,784.4718,280.6574,282.8656,1194.4722,490.6714,0,659.4223,661.012,954.0429,1567.8941,4214.4781,3036.2474,1706.564
SW洗衣机,373.4312,237.4466,188.2278,193.804,296.6359,181.6013,230.1906,266.092,303.6175,808.1383,390.9508,0,736.1462,387.5957,350.9388,303.0795,518.5719,355.9424,347.596
SW小家电,259.9097,145.8858,184.3374,266.519,385.4517,286.1867,184.448,151.66,198.7911,448.1912,316.5779,0,432.112,190.7614,241.6935,352.0266,642.9693,490.4467,312.5801
SW彩电,265.5236,89.1942,101.2256,100.7511,168.4931,114.7464,129.2128,158.3477,121.6327,390.0545,202.4699,0,392.3214,124.3146,159.2253,133.3699,246.8673,158.1651,171.9201
SW其它视听器材,297.7155,197.5534,158.0602,174.8229,302.7947,171.668,187.5853,206.0008,199.0988,317.4715,237.7236,0,424.1499,278.5614,238.4531,216.5006,356.7517,187.0514,197.8953
SW男装,232.3833,102.6183,116.0447,115.9844,111.6787,86.1334,91.1099,138.4883,171.2403,377.6785,245.2479,0,279.1252,142.9633,158.0211,141.1514,148.412,125.4917,138.4446
SW女装,223.0763,124.2825,122.0213,136.9675,131.8558,101.4958,117.224,161.2739,165.0067,328.5749,212.6318,0,249.5017,160.9079,140.7478,135.4763,136.4654,138.4068,132.64
SW鞋帽,259.2256,172.3093,195.4888,210.285,189.0254,148.8085,164.1505,202.349,212.0458,460.6243,259.1071,0,307.9399,216.6478,213.4434,214.6509,238.4035,194.4497,194.232
SW家纺,293.1658,169.1947,172.7771,206.2598,237.3786,189.4982,203.1008,232.7599,241.4195,524.7887,282.2353,0,354.8207,207.0521,212.2282,235.4449,302.544,255.8701,221.9727
SW家具,472.0683,421.2762,362.3047,419.026,542.734,514.6199,591.5014,606.5276,539.5794,1185.1421,622.2298,0,659.4011,628.055,571.1299,599.3614,698.64,675.2546,706.9317
SW其他家用轻工,438.422,350.5736,350.4021,388.1461,439.7588,390.4177,435.0834,437.7283,408.0705,995.8093,459.3668,0,502.4864,448.2631,447.5659,500.6907,682.5418,542.0719,608.458
SW白酒,242.4935,39.1496,33.8595,34.7235,51.1066,34.841,42.6091,89.2757,43.7825,175.611,92.9679,0,340.52,46.2975,41.0926,44.4111,71.7188,47.1037,58.7202
SW啤酒,326.324,93.2634,110.6853,181.7721,329.5114,316.131,299.0192,193.6554,146.896,259.9667,190.5111,0,676.9906,172.5973,228.9927,360.4891,681.5969,673.4492,505.0328
SW软饮料,437.6693,286.2712,271.7224,319.6644,415.61,418.1797,470.1994,445.0606,448.0307,786.2963,519.5016,0,1021.3252,608.716,579.4574,738.2255,1026.4431,948.201,880.7716
SW葡萄酒,294.1361,74.9254,78.3244,95.0059,101.3385,89.4742,100.3864,141.0023,98.5712,206.7678,143.5406,0,391.4908,88.0647,85.0537,115.5393,129.7969,97.5697,113.0324
SW黄酒,260.2477,49.3774,43.6653,49.7226,55.1595,38.2325,41.706,95.3144,81.0057,183.7581,153.1294,0,349.0868,70.2559,61.6777,64.7327,77.0364,59.5342,63.5883
SW调味发酵品,290.5792,126.9265,126.9555,128.0807,165.9678,172.942,191.4659,228.7768,216.8498,434.5193,342.0568,0,600.4431,266.7348,275.8529,324.7848,439.6249,367.7004,362.2692
SW乳品,714.7189,415.3159,462.5616,563.8734,765.5616,611.5505,691.4877,849.6569,838.9417,1572.6299,1063.8693,0,1946.6453,1127.3845,1147.3676,1526.3899,2147.8222,1528.2801,1500.1998
SW食品综合,284.2471,75.5534,69.3066,74.3788,75.0656,69.8614,94.05,157.6206,101.624,223.7901,185.7698,0,434.5211,129.6595,116.2223,148.3335,161.1866,150.0318,155.1558
